No,Tanggal,Suku Bunga
1,2025-07-16,5.25
2,2025-06-18,5.5
3,2025-05-21,5.5
4,2025-04-23,5.75
5,2025-03-19,5.75
6,2025-02-19,5.75
7,2025-01-15,5.75
8,2024-12-18,6.0
9,2024-11-20,6.0
10,2024-10-16,6.0
11,2024-09-18,6.0
12,2024-08-21,6.25
13,2024-07-17,6.25
14,2024-06-20,6.25
15,2024-05-22,6.25
16,2024-04-24,6.25
17,2024-03-20,6.0
18,2024-02-21,6.0
19,2024-01-17,6.0
20,2023-12-21,6.0
21,2023-11-23,6.0
22,2023-10-19,6.0
23,2023-09-21,5.75
24,2023-08-24,5.75
25,2023-07-25,5.75
26,2023-06-22,5.75
27,2023-05-25,5.75
28,2023-04-18,5.75
29,2023-03-16,5.75
30,2023-02-16,5.75
31,2023-01-19,5.75
32,2022-12-22,5.5
33,2022-11-17,5.25
34,2022-10-20,4.75
35,2022-09-22,4.25
36,2022-08-23,3.75
37,2022-07-21,3.5
38,2022-06-23,3.5
39,2022-05-24,3.5
40,2022-04-19,3.5
41,2022-03-17,3.5
42,2022-02-10,3.5
43,2022-01-20,3.5
44,2021-12-16,3.5
45,2021-11-18,3.5
46,2021-10-19,3.5
47,2021-09-21,3.5
48,2021-08-19,3.5
49,2021-07-22,3.5
50,2021-06-17,3.5
51,2021-05-25,3.5
52,2021-04-20,3.5
53,2021-03-18,3.5
54,2021-02-18,3.5
55,2021-01-21,3.75
