Tanggal,Kurs_Jual_USD
2021-01-04,13972.52
2021-01-05,14014.73
2021-01-06,13995.63
2021-01-07,14007.69
2021-01-08,14128.29
2021-01-11,14225.78
2021-01-12,14302.16
2021-01-13,14179.55
2021-01-14,14189.6
2021-01-15,14138.34
2021-01-18,14150.4
2021-01-19,14156.43
2021-01-20,14135.33
2021-01-21,14109.2
2021-01-22,14124.27
2021-01-25,14152.41
2021-01-26,14156.43
2021-01-27,14161.46
2021-01-28,14189.6
2021-01-29,14154.42
2021-02-01,14112.21
2021-02-02,14114.22
2021-02-03,14087.09
2021-02-04,14106.18
2021-02-05,14132.31
2021-02-08,14070.0
2021-02-09,14070.0
2021-02-10,14058.95
2021-02-11,14081.06
2021-02-12,14081.06
2021-02-15,14015.73
2021-02-16,13944.38
2021-02-17,14089.1
2021-02-18,14129.3
2021-02-19,14155.43
2021-02-22,14168.49
2021-02-23,14196.63
2021-02-24,14159.45
2021-02-25,14174.52
2021-02-26,14300.15
2021-03-01,14371.5
2021-03-02,14378.54
2021-03-03,14405.67
2021-03-04,14370.5
2021-03-05,14442.86
2021-03-08,14461.95
2021-03-09,14540.34
2021-03-10,14493.11
2021-03-11,14493.11
2021-03-12,14442.86
2021-03-15,14490.09
2021-03-16,14496.12
2021-03-17,14531.3
2021-03-18,14484.06
2021-03-19,14548.38
2021-03-22,14528.28
2021-03-23,14493.11
2021-03-24,14527.28
2021-03-25,14536.32
2021-03-26,14518.23
2021-03-29,14506.17
2021-03-30,14553.41
2021-03-31,14644.86
2021-04-01,14649.89
2021-04-02,14649.89
2021-04-05,14656.92
2021-04-06,14605.67
2021-04-07,14591.6
2021-04-08,14585.57
2021-04-09,14652.9
2021-04-12,14652.9
2021-04-13,14704.16
2021-04-14,14721.24
2021-04-15,14706.17
2021-04-16,14719.23
2021-04-19,14664.96
2021-04-20,14640.84
2021-04-21,14580.54
2021-04-22,14621.75
2021-04-23,14602.65
2021-04-26,14620.74
2021-04-27,14561.45
2021-04-28,14569.49
2021-04-29,14582.55
2021-04-30,14540.34
2021-05-03,14525.27
2021-05-04,14539.34
2021-05-05,14503.16
2021-05-06,14511.2
2021-05-07,14435.82
2021-05-10,14360.45
2021-05-11,14268.99
2021-05-12,14268.99
2021-05-13,14268.99
2021-05-14,14268.99
2021-05-17,14274.02
2021-05-18,14355.42
2021-05-19,14371.5
2021-05-20,14384.57
2021-05-21,14467.98
2021-05-24,14446.88
2021-05-25,14433.81
2021-05-26,14433.81
2021-05-27,14406.68
2021-05-28,14383.56
2021-05-31,14381.55
2021-06-01,14381.55
2021-06-02,14363.46
2021-06-03,14347.38
2021-06-04,14368.49
2021-06-07,14387.58
2021-06-08,14342.36
2021-06-09,14333.31
2021-06-10,14333.31
2021-06-11,14311.2
2021-06-14,14277.03
2021-06-15,14293.11
2021-06-16,14315.22
2021-06-17,14328.29
2021-06-18,14449.89
2021-06-21,14475.02
2021-06-22,14525.27
2021-06-23,14493.11
2021-06-24,14526.27
2021-06-25,14534.31
2021-06-28,14519.24
2021-06-29,14544.36
2021-06-30,14568.48
2021-07-01,14614.71
2021-07-02,14611.7
2021-07-05,14636.82
2021-07-06,14554.41
2021-07-07,14540.34
2021-07-08,14572.5
2021-07-09,14620.74
2021-07-12,14620.74
2021-07-13,14558.43
2021-07-14,14558.43
2021-07-15,14565.47
2021-07-16,14575.52
2021-07-19,14589.59
2021-07-21,14596.62
2021-07-22,14626.77
2021-07-23,14580.54
2021-07-26,14573.51
2021-07-27,14566.47
2021-07-28,14561.45
2021-07-29,14570.49
2021-07-30,14563.46
2021-08-02,14534.31
2021-08-03,14528.28
2021-08-04,14433.81
2021-08-05,14395.62
2021-08-06,14413.71
2021-08-09,14440.85
2021-08-10,14449.89
2021-08-12,14468.99
2021-08-13,14460.95
2021-08-16,14459.94
2021-08-18,14454.92
2021-08-19,14455.92
2021-08-20,14486.07
2021-08-23,14536.32
2021-08-24,14487.08
2021-08-25,14462.96
2021-08-26,14480.04
2021-08-27,14495.12
2021-08-30,14503.16
2021-08-31,14445.87
2021-09-01,14377.53
2021-09-02,14355.42
2021-09-03,14352.41
2021-09-06,14332.31
2021-09-07,14310.2
2021-09-08,14265.98
2021-09-09,14337.33
2021-09-10,14343.36
2021-09-13,14296.13
2021-09-14,14331.3
2021-09-15,14328.29
2021-09-16,14323.26
2021-09-17,14309.19
2021-09-20,14304.17
2021-09-21,14322.26
2021-09-22,14315.22
2021-09-23,14320.25
2021-09-24,14327.28
2021-09-27,14321.25
2021-09-28,14329.29
