Tanggal,PDB_Konstan_Milyar
2010-01-01,1834355.1
2010-04-01,1928233.0
2010-07-01,2053745.4
2010-10-01,2015392.5
2011-01-01,2061338.3
2011-04-01,2162036.9
2011-07-01,2223641.6
2011-10-01,2168687.7
2012-01-01,2235288.5
2012-04-01,2342589.5
2012-07-01,2491158.5
2012-10-01,2477097.5
2013-01-01,2506300.2
2013-04-01,2618947.3
2013-07-01,2746762.4
2013-10-01,2697695.4
2014-01-01,2728180.7
2014-04-01,2867948.4
2014-07-01,2990645.0
2014-10-01,2939558.7
2015-01-01,2929269.0
2015-04-01,3073536.7
2015-07-01,3205019.0
2015-10-01,3193903.8
2016-01-01,3228172.2
2016-04-01,3366787.3
2016-07-01,3504138.5
2016-10-01,3490727.7
2017-01-01,3510363.1
2017-04-01,3686836.4
2017-07-01,3842343.0
2017-10-01,3799213.5
2018-01-01,3782618.3
2018-04-01,3964074.7
2018-07-01,4067358.0
2018-10-01,4018606.2
2019-01-01,3923347.9
2019-04-01,3690742.2
2019-07-01,3897851.9
2019-10-01,3931411.2
2020-01-01,3972933.0
2020-04-01,4178022.0
2020-07-01,4327383.9
2020-10-01,4498412.5
2021-01-01,4508662.5
2021-04-01,4898031.8
2021-07-01,5066968.2
2021-10-01,5114797.4
2022-01-01,5071497.2
2022-04-01,5223290.3
2022-07-01,5294903.3
2022-10-01,5302657.7
2023-01-01,5288576.6
2023-04-01,5536588.5
2023-07-01,5638869.1
2023-10-01,5674929.8
2024-01-01,5665930.2
